cluster_id	cluster_size	sources	members	has_DATABASE	has_PRED
cluster_180	45	DATABASE	DATABASE|AP00204||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP00205||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP00206||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP00529||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP00997||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP01002||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP01003||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP01495||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP01611||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP01712||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP01971||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP02165||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP02359||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP02818||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP03088||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP03141||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP03172||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP03636||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP03637||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP03638||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04003||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04004||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04077||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04089||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04099||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04114||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|AP04122||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|CAMPSQ1884_Lantibioticnisin-U||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|CAMPSQ970_Mutacin1140||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_1079_Lantibiotic_Nisin-A||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_14990_Nisin-P||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_17744_CMB001||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_19108_Sublichenin||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_19109_Entianin||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_19798_Lantibiotic_Mutacin_1140||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_20512_Gallidermin||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_20513_Epidermin||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21186_Lantibiotic_Nisin-H||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21276_Lantibiotic_Nisin-Z||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21897_Lantibiotic_Blauticin||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21898_Nisin_O||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21899_Lantibiotic_Lan-CE02||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21900_Lantibiotic_Lan-Df||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21901_Lantibiotic_Lan-P49.1||Lantibiotic,_Type_A,_Bacillales-type;DATABASE|DBAASPR_21902_Lantibiotic_Lan-P49.2||Lantibiotic,_Type_A,_Bacillales-type	True	False
cluster_181	9	PRED	PRED|NP_001185985.1_cell_death-inducing_p53-target_protein_1_isoform_c_[Homo_sapiens]|0.61|0.8||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_001021936.1_LITAF-like_zinc_ribbon_domain_protein_[Tetrahymena_thermophila_SB210]|0.87|0.89||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_001022444.1_LITAF-like_zinc_ribbon_domain_protein_[Tetrahymena_thermophila_SB210]|0.92|0.84||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_001030377.1_LITAF-like_zinc_ribbon_domain_protein_[Tetrahymena_thermophila_SB210]|0.77|0.87||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_001030565.1_LITAF-like_zinc_ribbon_domain_protein_[Tetrahymena_thermophila_SB210]|0.95|0.83||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_001347077.1_hypothetical_protein_(macronuclear)_[Paramecium_tetraurelia_strain_d4-2]|0.65|0.86||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_004927943.1_lipopolysaccharide-induced_tumor_necrosis_factor-alpha_factor_homolog_[Bombyx_mori]|0.71|0.87||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_011444612.3_LITAF_domain-containing_protein_[Magallana_gigas]|0.94|0.83||LPS-induced_tumour_necrosis_factor_alpha_factor;PRED|XP_037870913.1_lipopolysaccharide-induced_tumor_necrosis_factor-alpha_factor_homolog_isoform_X1_[Bombyx_mori]|0.66|0.83||LPS-induced_tumour_necrosis_factor_alpha_factor	False	True
cluster_182	6	PRED	PRED|NP_001021429.1_Saposin_B-type_domain-containing_protein_[Caenorhabditis_elegans]|0.99|0.94||PROTEIN_CBG24898-RELATED;PRED|NP_001122464.1_Saposin_B-type_domain-containing_protein_[Caenorhabditis_elegans]|0.99|0.9||PROTEIN_CBG24898-RELATED;PRED|NP_001122465.1_Lipoprotein_[Caenorhabditis_elegans]|0.68|0.86||PROTEIN_CBG24898-RELATED;PRED|NP_001122466.1_Saposin_B-type_domain-containing_protein_[Caenorhabditis_elegans]|0.9|0.89||PROTEIN_CBG24898-RELATED;PRED|NP_501892.1_Saposin_B-type_domain-containing_protein_[Caenorhabditis_elegans]|0.91|0.93||PROTEIN_CBG24898-RELATED;PRED|NP_507474.1_Saposin_B-type_domain-containing_protein_[Caenorhabditis_elegans]|0.99|0.92||PROTEIN_CBG24898-RELATED	False	True
cluster_183	3	PRED	PRED|NP_001235392.1_pectinesterase_inhibitor_domain-containing_protein_precursor_[Glycine_max]|0.93|0.74||Pectinesterase_Inhibitor;PRED|XP_003526858.1_cell_wall_/_vacuolar_inhibitor_of_fructosidase_2_[Glycine_max]|0.86|0.74||Pectinesterase_Inhibitor;PRED|XP_008386863.3_cell_wall_/_vacuolar_inhibitor_of_fructosidase_2_[Malus_domestica]|0.64|0.72||PMEI_like	False	True
cluster_184	5	PRED	PRED|XP_011395232.1_uncharacterized_protein_NCU06076_[Neurospora_crassa_OR74A]|0.93|0.81||Mitofissin;PRED|XP_011395234.1_uncharacterized_protein_NCU06076_[Neurospora_crassa_OR74A]|0.54|0.87||Mitofissin;PRED|XP_011395235.1_uncharacterized_protein_NCU06076_[Neurospora_crassa_OR74A]|0.84|0.88||Mitofissin;PRED|XP_024546653.1_hypothetical_protein_BCIN_01g10110_[Botrytis_cinerea_B05.10]|0.93|0.73||Mitofissin;PRED|XP_644029.1_hypothetical_protein_DDB_G0274249_[Dictyostelium_discoideum_AX4]|0.71|0.77||Mitofissin	False	True
cluster_185	1	PRED	PRED|WP_005053289.1_MULTISPECIES:_phosphate_starvation-inducible_protein_PsiF_[Shigella]|0.86|0.72||Phosphate-starvation-induced_PsiF_repeat	False	True
cluster_186	6	PRED	PRED|NP_001189257.2_pre-mod(mdg4)-X_isoform_A_partial_[Drosophila_melanogaster]|0.59|0.87||Zinc_finger,_FLYWCH-type;PRED|NP_001189258.2_pre-mod(mdg4)-Y_isoform_A_partial_[Drosophila_melanogaster]|0.74|0.82||Zinc_finger,_FLYWCH-type;PRED|NP_001189260.2_pre-mod(mdg4)-AE_isoform_A_partial_[Drosophila_melanogaster]|0.63|0.89||Zinc_finger,_FLYWCH-type;PRED|NP_001303526.2_pre-mod(mdg4)-Y_isoform_B_partial_[Drosophila_melanogaster]|0.74|0.82||Zinc_finger,_FLYWCH-type;PRED|NP_001303529.2_pre-mod(mdg4)-X_isoform_B_partial_[Drosophila_melanogaster]|0.59|0.88||Zinc_finger,_FLYWCH-type;PRED|NP_001303531.2_pre-mod(mdg4)-AE_isoform_B_partial_[Drosophila_melanogaster]|0.63|0.88||Zinc_finger,_FLYWCH-type	False	True
cluster_187	1	PRED	PRED|XP_009062196.1_hypothetical_protein_LOTGIDRAFT_107438_partial_[Lottia_gigantea]|0.66|0.81||Ezrin/radixin/moesin,_C-terminal	False	True
cluster_188	7	PRED	PRED|WP_050894957.1_TlpA_disulfide_reductase_family_protein_[Neisseria_meningitidis]|0.97|0.74||Redoxin|Thioredoxin_family_ResA/DsbE_subfamily|Thioredoxin-like_superfamily;PRED|XP_002184755.1_predicted_protein_partial_[Phaeodactylum_tricornutum_CCAP_1055/1]|0.89|0.91||Thioredoxin-like_superfamily;PRED|XP_002293017.1_hypothetical_protein_THAPSDRAFT_263903_partial_[Thalassiosira_pseudonana_CCMP1335]|0.98|0.75||Thioredoxin-like_superfamily;PRED|XP_015838752.1_selenoprotein_M_[Tribolium_castaneum]|0.83|0.73||Thioredoxin-like_superfamily;PRED|XP_030855516.1_peroxiredoxin-5_mitochondrial-like_[Strongylocentrotus_purpuratus]|0.68|0.76||Peroxiredoxin-5-like|Redoxin|Thioredoxin-like_superfamily;PRED|XP_030855560.1_peroxiredoxin-5_mitochondrial-like_[Strongylocentrotus_purpuratus]|0.59|0.78||Peroxiredoxin-5-like|Redoxin|Thioredoxin-like_superfamily;PRED|XP_046453775.1_sulfhydryl_oxidase_1-like_[Daphnia_pulex]|0.58|0.78||Sulfhydryl_oxidase|Thioredoxin-like_superfamily	False	True
cluster_189	2	PRED	PRED|NP_001092899.1_protein_FAM163A_[Danio_rerio]|0.6|0.73||Protein_FAM163A;PRED|XP_068072291.1_protein_FAM163A_isoform_X1_[Danio_rerio]|0.6|0.74||Protein_FAM163A	False	True
cluster_19	1	PRED	PRED|WP_000891515.1_MULTISPECIES:_multidrug_efflux_pump_accessory_protein_AcrZ_[Enterobacteriaceae]|0.54|0.79||Multidrug_Efflux_Pump_Accessory_AcrZ|Multidrug_efflux_pump_accessory_protein_AcrZ	False	True
cluster_190	33	PRED	PRED|XP_001556609.2_Bhp2_[Botrytis_cinerea_B05.10]|0.65|0.76||Class_II_Hydrophobin_superfamily|Class_II_hydrophobin;PRED|XP_001831661.1_hypothetical_protein_CC1G_05732_[Coprinopsis_cinerea_okayama7#130]|0.87|0.91||Class_I_Hydrophobin;PRED|XP_001831668.1_hypothetical_protein_CC1G_05739_[Coprinopsis_cinerea_okayama7#130]|0.82|0.85||Class_I_Hydrophobin;PRED|XP_001831759.1_hypothetical_protein_CC1G_08363_[Coprinopsis_cinerea_okayama7#130]|0.9|0.89||Class_I_Hydrophobin;PRED|XP_001833168.1_hypothetical_protein_CC1G_01230_[Coprinopsis_cinerea_okayama7#130]|0.95|0.9||Class_I_Hydrophobin;PRED|XP_001833828.1_hypothetical_protein_CC1G_01505_[Coprinopsis_cinerea_okayama7#130]|0.53|0.81||Class_I_Hydrophobin;PRED|XP_001834438.2_CoH1_[Coprinopsis_cinerea_okayama7#130]|0.91|0.79||Class_I_Hydrophobin;PRED|XP_001834445.1_CoH1_[Coprinopsis_cinerea_okayama7#130]|0.96|0.81||Class_I_Hydrophobin;PRED|XP_001834446.1_hydrophobin_[Coprinopsis_cinerea_okayama7#130]|0.97|0.82||Class_I_Hydrophobin;PRED|XP_001834447.1_CoH1_[Coprinopsis_cinerea_okayama7#130]|0.93|0.78||Class_I_Hydrophobin;PRED|XP_001834448.1_CoH1_[Coprinopsis_cinerea_okayama7#130]|0.96|0.8||Class_I_Hydrophobin;PRED|XP_001834449.1_CoH2_[Coprinopsis_cinerea_okayama7#130]|0.94|0.86||Class_I_Hydrophobin;PRED|XP_001835081.2_hypothetical_protein_CC1G_06484_[Coprinopsis_cinerea_okayama7#130]|0.97|0.77||Class_I_Hydrophobin;PRED|XP_001836747.1_hypothetical_protein_CC1G_04060_[Coprinopsis_cinerea_okayama7#130]|0.81|0.81||Class_I_Hydrophobin;PRED|XP_001837952.1_hypothetical_protein_CC1G_09503_[Coprinopsis_cinerea_okayama7#130]|0.98|0.75||Class_I_Hydrophobin;PRED|XP_001839824.1_hypothetical_protein_CC1G_09158_[Coprinopsis_cinerea_okayama7#130]|0.75|0.77||Class_I_Hydrophobin;PRED|XP_001839855.1_hydrophobin-315_[Coprinopsis_cinerea_okayama7#130]|0.79|0.74||Class_I_Hydrophobin;PRED|XP_001839892.2_hypothetical_protein_CC1G_06082_[Coprinopsis_cinerea_okayama7#130]|0.98|0.77||Class_I_Hydrophobin;PRED|XP_001839896.2_hypothetical_protein_CC1G_06086_[Coprinopsis_cinerea_okayama7#130]|0.93|0.8||Class_I_Hydrophobin;PRED|XP_001839924.1_hypothetical_protein_CC1G_06114_[Coprinopsis_cinerea_okayama7#130]|0.92|0.82||Class_I_Hydrophobin;PRED|XP_001840999.1_hypothetical_protein_CC1G_04843_[Coprinopsis_cinerea_okayama7#130]|0.93|0.72||Class_I_Hydrophobin;PRED|XP_001841031.2_hypothetical_protein_CC1G_04875_[Coprinopsis_cinerea_okayama7#130]|0.58|0.83||Class_I_Hydrophobin;PRED|XP_001841049.1_hypothetical_protein_CC1G_04893_[Coprinopsis_cinerea_okayama7#130]|0.9|0.79||Class_I_Hydrophobin;PRED|XP_001841170.1_hydrophobin-251_[Coprinopsis_cinerea_okayama7#130]|0.84|0.79||Class_I_Hydrophobin;PRED|XP_001841179.1_hydrophobin-251_[Coprinopsis_cinerea_okayama7#130]|0.73|0.76||Class_I_Hydrophobin;PRED|XP_001841189.1_hypothetical_protein_CC1G_10186_[Coprinopsis_cinerea_okayama7#130]|0.66|0.74||Class_I_Hydrophobin;PRED|XP_001841191.1_hypothetical_protein_CC1G_10188_[Coprinopsis_cinerea_okayama7#130]|0.64|0.76||Class_I_Hydrophobin;PRED|XP_001841192.1_hypothetical_protein_CC1G_10189_[Coprinopsis_cinerea_okayama7#130]|0.88|0.8||Class_I_Hydrophobin;PRED|XP_001841209.1_hypothetical_protein_CC1G_10206_[Coprinopsis_cinerea_okayama7#130]|0.67|0.76||Class_I_Hydrophobin;PRED|XP_011391376.1_hydrophobin_2_[Mycosarcoma_maydis]|0.98|0.8||Class_I_Hydrophobin;PRED|XP_024547321.1_Bhp1_[Botrytis_cinerea_B05.10]|0.54|0.8||Class_I_Hydrophobin;PRED|XP_753093.1_hydrophobin_family_protein_[Aspergillus_fumigatus_Af293]|0.53|0.9||Class_I_Hydrophobin;PRED|XP_959282.2_hydrophobin_[Neurospora_crassa_OR74A]|0.53|0.9||Class_II_Hydrophobin_superfamily|Class_II_hydrophobin	False	True
cluster_191	1	PRED	PRED|WP_001352098.1_MULTISPECIES:_YdaE_family_protein_[Bacteria]|0.94|0.76||YdaE-like	False	True
cluster_192	2	PRED	PRED|XP_008670725.1_uncharacterized_protein_[Zea_mays]|0.71|0.83||Protein_Casparian_strip_integrity_factor_1/2;PRED|XP_011649242.1_protein_CASPARIAN_STRIP_INTEGRITY_FACTOR_2_[Cucumis_sativus]|0.68|0.79||Protein_Casparian_strip_integrity_factor_1/2	False	True
cluster_193	6	PRED	PRED|XP_640900.1_cellulose-binding_domain-containing_protein_[Dictyostelium_discoideum_AX4]|0.98|0.72||Dictyostelium_Spore_Germination_and_Stalk_Formation;PRED|XP_642357.1_hypothetical_protein_DDB_G0278421_[Dictyostelium_discoideum_AX4]|0.7|0.88||Dictyostelium_Spore_Germination_and_Stalk_Formation;PRED|XP_642358.1_hypothetical_protein_DDB_G0278423_[Dictyostelium_discoideum_AX4]|0.86|0.83||Dictyostelium_Spore_Germination_and_Stalk_Formation;PRED|XP_642365.1_hypothetical_protein_DDB_G0278437_[Dictyostelium_discoideum_AX4]|0.87|0.81||Dictyostelium_Spore_Germination_and_Stalk_Formation;PRED|XP_642366.1_hypothetical_protein_DDB_G0278439_[Dictyostelium_discoideum_AX4]|0.84|0.8||Dictyostelium_Spore_Germination_and_Stalk_Formation;PRED|XP_642718.1_cellulose-binding_domain-containing_protein_[Dictyostelium_discoideum_AX4]|0.99|0.84||Dictyostelium_Spore_Germination_and_Stalk_Formation	False	True
cluster_194	8	PRED	PRED|NP_001033548.1_Nematocin_[Caenorhabditis_elegans]|1.0|0.93||Neurohypophysial_hormone;PRED|NP_001078831.1_oxytocin/vasopressin-like_peptide_precursor_[Tribolium_castaneum]|0.76|0.83||Neurohypophysial_hormone|Neurohypophysial_hormone,_conserved_site;PRED|XP_002936405.1_mesotocin-neurophysin_MT_[Xenopus_tropicalis]|0.72|0.76||Neurohypophysial_hormone;PRED|XP_006498973.1_oxytocin-neurophysin_1_isoform_X1_[Mus_musculus]|0.81|0.78||Neurohypophysial_hormone|Neurohypophysial_hormone,_conserved_site;PRED|XP_009058906.1_hypothetical_protein_LOTGIDRAFT_53893_partial_[Lottia_gigantea]|0.91|0.87||Neurohypophysial_hormone;PRED|XP_014771402.1_terepressin/terephysin_isoform_X4_[Octopus_bimaculoides]|0.66|0.84||Neurohypophysial_hormone;PRED|XP_040527589.1_neurophysin_1_[Gallus_gallus]|0.92|0.75||Neurohypophysial_hormone;PRED|XP_062838642.1_neurophysin_1_[Anolis_carolinensis]|0.97|0.82||Neurohypophysial_hormone|Neurohypophysial_hormone,_conserved_site	False	True
cluster_195	2	PRED	PRED|WP_000481166.1_MULTISPECIES:_osmotically-inducible_lipoprotein_OsmB_[Salmonella]|0.99|0.89||osmotically-inducible_lipoprotein_OsmB;PRED|WP_000498253.1_MULTISPECIES:_osmotically-inducible_lipoprotein_OsmB_[Enterobacteriaceae]|1.0|0.89||osmotically-inducible_lipoprotein_OsmB	False	True
cluster_196	25	DATABASE;PRED	DATABASE|AP03084||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;DATABASE|AP03085||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_001019452.1_resistin-like_beta_precursor_[Rattus_norvegicus]|0.97|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_001180303.1_resistin_isoform_a_precursor_[Homo_sapiens]|0.99|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_001191888.1_resistin_precursor_[Mus_musculus]|0.92|0.91||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_001372654.1_resistin_isoform_a_precursor_[Homo_sapiens]|0.99|0.86||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_001372655.1_resistin_isoform_b_precursor_[Homo_sapiens]|0.9|0.84||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_001372656.1_resistin_isoform_c_precursor_[Homo_sapiens]|1.0|0.88||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_065148.1_resistin_isoform_a_precursor_[Homo_sapiens]|0.99|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_065255.3_resistin-like_alpha_precursor_[Mus_musculus]|0.95|0.89||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_075360.1_resistin_precursor_[Mus_musculus]|0.92|0.91||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_076370.3_resistin-like_beta_precursor_[Mus_musculus]|0.66|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_445785.1_resistin-like_alpha_precursor_[Rattus_norvegicus]|0.98|0.93||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_653342.1_resistin_precursor_[Rattus_norvegicus]|0.98|0.83||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_853627.2_resistin-like_gamma_precursor_[Mus_musculus]|0.52|0.88||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|NP_853656.2_resistin-like_gamma_precursor_[Rattus_norvegicus]|0.89|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_001633834.3_uncharacterized_protein_LOC5513547_[Nematostella_vectensis]|0.99|0.85||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_006002986.1_resistin_[Latimeria_chalumnae]|0.99|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_006248345.1_resistin-like_alpha_isoform_X1_[Rattus_norvegicus]|0.98|0.93||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_008102432.1_resistin_isoform_X1_[Anolis_carolinensis]|0.99|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_008102433.1_resistin_isoform_X2_[Anolis_carolinensis]|0.99|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_008102434.1_resistin_isoform_X2_[Anolis_carolinensis]|0.99|0.87||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_016846768.1_resistin_[Anolis_carolinensis]|1.0|0.89||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_031750894.1_resistin-like_beta_[Xenopus_tropicalis]|0.97|0.83||Resistin-like_molecule_hormone_family|Resistin-like_superfamily;PRED|XP_063126771.1_resistin-like_beta_isoform_X1_[Rattus_norvegicus]|0.88|0.91||Resistin-like_molecule_hormone_family|Resistin-like_superfamily	True	True
cluster_197	6	PRED	PRED|WP_000838146.1_MULTISPECIES:_type_II_toxin-antitoxin_system_HicA_family_toxin_[Acinetobacter]|0.54|0.81||HicA_mRNA_interferase_family|HicA_superfamily;PRED|WP_001259384.1_MULTISPECIES:_type_II_toxin-antitoxin_system_HicA_family_toxin_[Enterobacteriaceae]|0.98|0.83||HicA_mRNA_interferase_family;PRED|WP_010890096.1_DUF365_domain-containing_protein_[Methanocaldococcus_jannaschii]|0.72|0.87||Protein_of_unknown_function_DUF365;PRED|WP_042014162.1_MULTISPECIES:_type_II_toxin-antitoxin_system_HicA_family_toxin_[Enterobacteriaceae]|0.87|0.82||HicA_mRNA_interferase_family;PRED|WP_074097982.1_type_II_toxin-antitoxin_system_HicA_family_toxin_[Clostridioides_difficile]|0.51|0.83||HicA_mRNA_interferase_family|HicA_superfamily;PRED|WP_076738546.1_MULTISPECIES:_type_II_toxin-antitoxin_system_HicA_family_toxin_[Stenotrophomonas]|0.88|0.9||HicA_mRNA_interferase_family|HicA_superfamily	False	True
cluster_198	1	PRED	PRED|XP_001351803.1_mitochondrial_import_receptor_subunit_TOM22_putative_[Plasmodium_falciparum_3D7]|0.67|0.73||Mitochondrial_import_receptor_subunit_Tom22	False	True
cluster_199	10	PRED	PRED|NP_001021506.4_Transthyretin-like_family_protein_[Caenorhabditis_elegans]|0.58|0.91||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_001123180.1_Transthyretin-like_family_protein_[Caenorhabditis_elegans]|0.61|0.71||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_001256812.1_TransThyretin-Related_family_domain_[Caenorhabditis_elegans]|0.67|0.74||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_001256814.1_TransThyretin-Related_family_domain_[Caenorhabditis_elegans]|0.97|0.77||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_498658.1_Transthyretin-like_family_protein_[Caenorhabditis_elegans]|0.68|0.79||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_499054.1_Transthyretin-like_protein_5_[Caenorhabditis_elegans]|0.81|0.82||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_499202.1_Transthyretin-like_protein_3_[Caenorhabditis_elegans]|0.64|0.78||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_500522.1_Transthyretin-like_family_protein_[Caenorhabditis_elegans]|0.71|0.81||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_506227.2_Transthyretin-like_family_protein_[Caenorhabditis_elegans]|0.64|0.77||Transthyretin-like|Transthyretin-like_superfamily;PRED|NP_507630.1_Transthyretin-like_family_protein_[Caenorhabditis_elegans]|0.65|0.78||Transthyretin-like|Transthyretin-like_superfamily	False	True
cluster_2	22	PRED	PRED|NP_001013.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74||Small_ribosomal_subunit_protein_eS19;PRED|NP_001032423.1_small_ribosomal_subunit_protein_eS19_[Rattus_norvegicus]|0.68|0.78||Small_ribosomal_subunit_protein_eS19;PRED|NP_001308412.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.76||Small_ribosomal_subunit_protein_eS19;PRED|NP_001308413.1_small_ribosomal_subunit_protein_eS19_isoform_1_[Homo_sapiens]|0.68|0.74||Small_ribosomal_subunit_protein_eS19;PRED|NP_001347044.2_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.78||Small_ribosomal_subunit_protein_eS19;PRED|NP_001347047.1_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.75||Small_ribosomal_subunit_protein_eS19;PRED|NP_001347054.1_small_ribosomal_subunit_protein_eS19_isoform_d_[Mus_musculus]|0.75|0.79||Small_ribosomal_subunit_protein_eS19;PRED|NP_001347057.1_small_ribosomal_subunit_protein_eS19_isoform_e_[Mus_musculus]|0.96|0.81||Small_ribosomal_subunit_protein_eS19;PRED|NP_075622.1_small_ribosomal_subunit_protein_eS19_isoform_a_[Mus_musculus]|0.68|0.76||Small_ribosomal_subunit_protein_eS19;PRED|NP_957044.1_small_ribosomal_subunit_protein_eS19_[Danio_rerio]|0.75|0.81||Small_ribosomal_subunit_protein_eS19;PRED|XP_002128905.1_40S_ribosomal_protein_S19_[Ciona_intestinalis]|0.53|0.86||Small_ribosomal_subunit_protein_eS19;PRED|XP_002128954.1_40S_ribosomal_protein_S19_[Ciona_intestinalis]|0.53|0.85||Small_ribosomal_subunit_protein_eS19;PRED|XP_002728718.5_small_ribosomal_subunit_protein_eS19-like_[Rattus_norvegicus]|0.5|0.76||Small_ribosomal_subunit_protein_eS19;PRED|XP_002939172.2_40S_ribosomal_protein_S19_[Xenopus_tropicalis]|0.82|0.73||Small_ribosomal_subunit_protein_eS19;PRED|XP_006228473.1_small_ribosomal_subunit_protein_eS19_isoform_X3_[Rattus_norvegicus]|0.68|0.72||Small_ribosomal_subunit_protein_eS19;PRED|XP_029695051.1_small_ribosomal_subunit_protein_eS19_[Takifugu_rubripes]|0.75|0.72||Small_ribosomal_subunit_protein_eS19;PRED|XP_039687771.1_40S_ribosomal_protein_S19-2_[Medicago_truncatula]|0.78|0.76||Small_ribosomal_subunit_protein_eS19;PRED|XP_040021917.1_40S_ribosomal_protein_S19_[Gasterosteus_aculeatus_aculeatus]|0.84|0.71||Small_ribosomal_subunit_protein_eS19;PRED|XP_062818781.1_small_ribosomal_subunit_protein_eS19_[Anolis_carolinensis]|0.68|0.77||Small_ribosomal_subunit_protein_eS19;PRED|XP_063126144.1_small_ribosomal_subunit_protein_eS19-like_isoform_X1_[Rattus_norvegicus]|0.5|0.87||Small_ribosomal_subunit_protein_eS19;PRED|XP_063139959.1_small_ribosomal_subunit_protein_eS19_isoform_X2_[Rattus_norvegicus]|0.52|0.81||Small_ribosomal_subunit_protein_eS19;PRED|XP_063139963.1_small_ribosomal_subunit_protein_eS19_isoform_X3_[Rattus_norvegicus]|0.68|0.76||Small_ribosomal_subunit_protein_eS19	False	True
